productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extUPC
516004,Nidoqueen,Nidoqueen,https://tcgplayer-cdn.tcgplayer.com/product/516004_200w.jpg,3,23237,https://cpt.tcgcsv.com/6q86,2025-12-12T23:05:22.193,1,,0.01,0.22,19.98,0.21,0.21,Reverse Holofoil,031/165,Uncommon,Darkness,170,Stage 2,"[1D] Queen Press (90)
<br>During your opponent's next turn, prevent all damage done to this Pokemon by attacks from Basic Pokemon.",[1DD] Lunge Out (160),Fx2,None,3,
516004,Nidoqueen,Nidoqueen,https://tcgplayer-cdn.tcgplayer.com/product/516004_200w.jpg,3,23237,https://cpt.tcgcsv.com/6q86,2025-12-12T23:05:22.193,1,,0.01,0.12,1.49,0.09,0.06,Normal,031/165,Uncommon,Darkness,170,Stage 2,"[1D] Queen Press (90)
<br>During your opponent's next turn, prevent all damage done to this Pokemon by attacks from Basic Pokemon.",[1DD] Lunge Out (160),Fx2,None,3,
516006,Nidoran M,Nidoran M,https://tcgplayer-cdn.tcgplayer.com/product/516006_200w.jpg,3,23237,https://cpt.tcgcsv.com/8q86,2025-12-17T05:46:27.35,1,,0.75,1.5,9.99,1.43,1.68,Reverse Holofoil,032/165,Common,Darkness,60,Basic,[D] Horn Attack (20),,Fx2,None,1,
516006,Nidoran M,Nidoran M,https://tcgplayer-cdn.tcgplayer.com/product/516006_200w.jpg,3,23237,https://cpt.tcgcsv.com/8q86,2025-12-17T05:46:27.35,1,,0.01,0.15,20.0,0.15,0.1,Normal,032/165,Common,Darkness,60,Basic,[D] Horn Attack (20),,Fx2,None,1,
516016,Nidorino,Nidorino,https://tcgplayer-cdn.tcgplayer.com/product/516016_200w.jpg,3,23237,https://cpt.tcgcsv.com/lq86,2025-12-17T05:46:56.3,1,,0.07,0.22,20.0,0.23,,Reverse Holofoil,033/165,Uncommon,Darkness,90,Stage 1,[D] Sharp Fang (30),[1DD] Superpowered Horns (100),Fx2,None,2,
516016,Nidorino,Nidorino,https://tcgplayer-cdn.tcgplayer.com/product/516016_200w.jpg,3,23237,https://cpt.tcgcsv.com/lq86,2025-12-17T05:46:56.3,1,,0.01,0.11,1.49,0.09,0.06,Normal,033/165,Uncommon,Darkness,90,Stage 1,[D] Sharp Fang (30),[1DD] Superpowered Horns (100),Fx2,None,2,
516024,Nidoking - 034/165,Nidoking 034 165,https://tcgplayer-cdn.tcgplayer.com/product/516024_200w.jpg,3,23237,https://cpt.tcgcsv.com/vq86,2025-11-10T18:03:27.517,1,"<strong>Ability — Enthusiastic King</strong>
<br>If you have Nidoqueen in play, ignore all Energy in the costs of attacks used by this Pokemon.",0.2,0.81,4.99,0.7,0.71,Reverse Holofoil,034/165,Rare,Darkness,170,Stage 2,"[2DD] Venomous Impact (190)
<br>Your opponent's Active Pokemon is now Poisoned.",,Fx2,None,3,
516024,Nidoking - 034/165,Nidoking 034 165,https://tcgplayer-cdn.tcgplayer.com/product/516024_200w.jpg,3,23237,https://cpt.tcgcsv.com/vq86,2025-11-10T18:03:27.517,1,"<strong>Ability — Enthusiastic King</strong>
<br>If you have Nidoqueen in play, ignore all Energy in the costs of attacks used by this Pokemon.",0.02,0.23,19.98,0.22,0.2,Holofoil,034/165,Rare,Darkness,170,Stage 2,"[2DD] Venomous Impact (190)
<br>Your opponent's Active Pokemon is now Poisoned.",,Fx2,None,3,
516030,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/516030_200w.jpg,3,23237,https://cpt.tcgcsv.com/Dq86,2025-12-13T01:00:00.417,1,,0.05,0.2,19.98,0.19,0.19,Reverse Holofoil,035/165,Common,Psychic,60,Basic,"[P] Moon-Viewing Invitation
<br>Search your deck for up to 3 Clefairy and put them onto your Bench. Then, shuffle your deck.",[1P] Smack (20),Mx2,None,1,
516030,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/516030_200w.jpg,3,23237,https://cpt.tcgcsv.com/Dq86,2025-12-13T01:00:00.417,1,,0.01,0.1,1.99,0.08,0.05,Normal,035/165,Common,Psychic,60,Basic,"[P] Moon-Viewing Invitation
<br>Search your deck for up to 3 Clefairy and put them onto your Bench. Then, shuffle your deck.",[1P] Smack (20),Mx2,None,1,
516036,Clefable,Clefable,https://tcgplayer-cdn.tcgplayer.com/product/516036_200w.jpg,3,23237,https://cpt.tcgcsv.com/Lq86,2026-01-13T17:52:01.113,1,,0.01,0.11,300.0,0.08,0.05,Normal,036/165,Uncommon,Psychic,100,Stage 1,"[P] Follow Me
<br>Switch in 1 of your opponent's Benched Pokemon to the Active Spot.","[PPP] More Moon (50)
<br>If your opponent's Pokemon is Knocked Out by damage from this attack, take 1 more Prize card.",Mx2,None,2,
